Date,2330.TW,NVDA,AMD
2019/1/4,192.86969,127.282051,17.049999
2019/1/7,197.505997,135.436707,19
2019/1/8,195.651474,142.606812,20.57
2019/1/9,199.824097,139.05658,20.75
2019/1/10,200.287735,141.791367,20.190001
2019/1/11,204.460403,144.426727,19.74
2019/1/14,202.605911,148.006775,20.27
2019/1/15,204.924042,149.607864,20.23
2019/1/16,201.67865,149.041031,20.379999
2019/1/17,204.460403,148.016754,19.73
2019/1/18,202.605911,150.880829,20.25
2019/1/21,204.924042,156.061981,20.77
2019/1/22,206.77858,147.947128,19.76
2019/1/23,204.460403,148.464218,19.799999
2019/1/24,206.314926,156.966934,20.85
2019/1/25,209.560318,159.26416,21.93
2019/1/28,212.342117,137.246658,20.18
2019/1/29,206.314926,130.872116,19.25
2019/1/30,204.924042,136.630081,23.09
2019/2/11,211.414856,142.95488,24.41
2019/2/12,213.269379,143.929459,24.51
2019/2/13,212.342117,148.354843,24.129999
2019/2/14,210.487595,149.12059,23.309999
2019/2/15,210.487595,152.153717,23.26
2019/2/18,213.269379,146.604599,22.67
2019/2/19,212.342117,147.350449,23.049999
2019/2/20,217.442017,145.639954,22.959999
2019/2/21,219.296555,150.333832,22.82
2019/2/22,219.296555,152.034409,22.85
2019/2/25,220.687439,153.675262,23.129999
2019/2/26,222.078339,156.469742,23.68
2019/2/27,221.614716,155.773605,23.950001
2019/3/4,218.369293,157.673019,23.950001
2019/3/5,216.051163,154.908417,23.92
2019/3/6,216.978394,158.309509,24.360001
2019/3/7,216.978394,157.812271,24.709999
2019/3/8,213.269379,156.231049,24.209999
2019/3/11,213.733017,154.5504,23.48
2019/3/12,218.369293,153.564865,23.530001
2019/3/13,219.760178,155.744995,23.68
2019/3/14,217.442017,156.073502,23.370001
2019/3/15,221.614716,155.814682,23.5
2019/3/18,223.469193,151.364807,22.41
2019/3/19,223.005569,148.587372,22.08
2019/3/20,224.396439,149.961166,22.01
2019/3/21,227.641891,160.413864,22.959999
2019/3/22,230.423645,161.787643,23.49
2019/3/25,223.932816,167.860153,23.379999
2019/3/26,226.250992,164.813934,22.82
2019/3/27,223.932816,169.044785,23.290001
2019/3/28,224.396439,168.188675,23.25
2019/3/29,227.641891,174.918182,26
2019/4/1,227.641891,173.61412,25.700001
2019/4/2,228.105499,183.111115,27.889999
